Subject,TP,b_Rat,num_weights
546f8a9cfdf99b4a593414ea,Now,0.04718664,16
5484fd09fdf99b38dfb9645c,Now,0.083619899,15
5490c822fdf99b71ba910e1a,Now,0.300137552,6
54af2a48fdf99b09c01b3801,Now,0.203329178,16
550bb70bfdf99b6853dab45e,Now,0.107413048,14
557d84c8fdf99b4d577438df,Now,0.117910025,17
5588d358fdf99b304ee5674f,Now,0.425051582,12
558acd52fdf99b65685f03d9,Now,0.000343879,2
5591cd21fdf99b63126f6c60,Now,0.091190446,12
559d9916fdf99b1e2b2dc6b8,Now,0.000343879,8
559ef308fdf99b2616ff2a4f,Now,0.222413266,9
559fa17cfdf99b69c369d364,Now,0.062800894,16
55b237e6fdf99b19ea79d2f7,Now,0.166895919,15
55b9a9b0fdf99b6906d2aba4,Now,0.000343879,10
55be9292fdf99b4c861994d8,Now,0.535689723,8
55cd909c34e906000a8d1e1e,Now,0.33344796,6
55ddb84550a1f7000b90d65a,Now,0.234557686,16
55ef4896b9401300137f40ac,Now,0.16199733,17
55f63fc432af740012171ef6,Now,0.117910025,17
56259489ed6e5a0005c80fde,Now,0.250171939,7
5687d85e369319000c269c55,Now,0.000343879,16
56d0f57421cd29000a9737e4,Now,0.089568186,15
56e130548b1c33000a388671,Now,0.400068776,11
56e1bbcb6ce054000b3ffcb8,Now,0.172100671,16
56e6a66af6ed900006a5867c,Now,0.649896836,15
56ec151f388e1d000a5924d0,Now,0.361206633,10
56f0393f3f71990005d0e66d,Now,0.059126952,17
56f9364e895094000c8f4967,Now,0.031572387,16
56fa002e8425ef000b3a4276,Now,0.150240715,15
56fdff4ee0f9ff000f19c466,Now,0.125257909,6
570521cfde5095001018a0c8,Now,0.066964695,15
576017836442fa0006cfb7cd,Now,0.000343879,6
5761c23632676f0007eb36b3,Now,0.125257909,2
57656f6c2bfddf000125cce5,Now,0.264867708,17
578673a9275be6000135880e,Now,0.100275103,5
57a761c22fc0d400012c9656,Now,0.187714924,16
57b60487e5b60d0001083aea,Now,0.58327602,7
57b9bafdfc23450001acc1ac,Now,0.154084224,14
57bb6878eb28030001f7ea94,Now,0.833104081,13
57bca845e2101600015e8e88,Now,0.021162884,13
57d6dd8d6598aa000199188b,Now,0.704404777,12
57dd766bbcd7150001ded5de,Now,0.266827144,15
57e7bb4e73e67300012b8e2a,Now,0.173301767,13
5800e50de3536e00012840f4,Now,0.000343879,11
58066bf52d948b00014ba876,Now,0.568134926,11
5825ecee95f3030001cf889a,Now,0.059126952,17
5831f08ebfb3b400015a6ad4,Now,0.5,16
583b397f54686200010f1d20,Now,0.54163801,7
583f12f545073d0001fac52d,Now,0.45836199,6
58474a9c89af6500017f4cd6,Now,0.294259244,17
58742bf5d53c97000159df8c,Now,0.178792494,15
589a46af57995d0001a8a03a,Now,0.156486417,16
58a43e029a17120001d910d5,Now,0.218943432,8
58a63a64ea3d11000170e1cc,Now,0.166895919,12
58ac890076c5b70001662993,Now,0.04718664,16
58dc1373463f960001ba45b3,Now,0.04718664,16
58e79ac632bebb0001b741ec,Now,0.07382272,17
58ed2be2a083320001a13783,Now,0.000343879,13
58effc65c31d4d00015aa5b9,Now,0.031572387,16
58f10189738cac000116d3ab,Now,0.279563476,17
59296fb2e8a7ff000163f033,Now,0.191388866,17
592e85797b619d0001cb07e9,Now,0.468771492,8
59347d4f53490b0001563e47,Now,0.062800894,16
59417543c768a500011c9731,Now,0.33344796,7
5953d01e4d560700016462da,Now,0.000343879,4
595b93be7882150001240e21,Now,0.038778965,13
59658491b9153e0001617465,Now,0.250171939,11
597fe89a1b41a20001749f57,Now,0.160947632,14
5987c9f26ab9880001b5b04d,Now,0.218943432,10
5993020a5f49420001caf86b,Now,0.183551123,15
59977c8ba7b2400001523396,Now,0.428620554,14
599be3660ed7ae0001991db9,Now,0.687371045,12
599eaf0fbfd73c00010ea24e,Now,0.5,10
599ec7dc617ca80001fcd124,Now,0.233516735,15
59a1de0cec2f75000124eeaf,Now,0.000343879,16
59ad6f1e09709e00013c2ba5,Now,0.232327078,15
59c0782e5364260001dc4740,Now,0.000343879,13
59c6305e6a287600011c388d,Now,0.5,17
59dc458f77860e000151240e,Now,0.13661373,12
59e833e72f63d30001c8fb86,Now,0.211736853,13
5a03d20a7ecfc50001be0a7a,Now,0.115649138,13
5a04869ff2e3460001edad2e,Now,0.200206327,6
5a0d9553fe645f0001e9f852,Now,0.150240715,15
5a212dcc7b108200011e040c,Now,0.173301767,13
5a21b2e1e473b80001baaa09,Now,0.071723325,14
5a3bdd2c8d005a0001829f3e,Now,0.000343879,6
5a49d6a06d85f80001c25bc4,Now,0.250171939,2
5a4bf09053a4560001ba0ebf,Now,0.285861662,8
5a5c23afe0cf3d0001268781,Now,0.033654287,15
5a5d7a42acc75b00017a8193,Now,0.571379446,8
5a6f1ccade1f390001dbd8b7,Now,0.62491403,13
5a708ef2f1530b000103bfab,Now,0.343857462,10
5a78e410ae9a0b0001a97274,Now,0.5,6
5a7cb079aa46dd00016b5bfb,Now,0.5,8
5a8891155292b800012316a8,Now,0.58327602,7
5a91877e777df200015fa0f5,Now,0.000343879,16
5a9262251eda410001360b2c,Now,0.200206327,12
5a947fb0f05361000171b5a3,Now,0.37508597,16
5aa55cf8dbdb470001ef4cc5,Now,0.000343879,16
5aa637861eda41000136d5d2,Now,0.428620554,7
5aa806e7777df200016088c5,Now,0.524982806,10
5ab415206db3e700011bde54,Now,0.250171939,11
5ab8026547a9f7000153a324,Now,0.265786193,16
5ab84333f69e940001d8f0af,Now,0.083619899,10
5ac6cc039534ba0001c75642,Now,0.062800894,14
5ace650a436f550001004f87,Now,0.176693098,17
5ad9cc7ddfcfcb0001e667f3,Now,0.303706524,15
5aeda69f9457e00001054d76,Now,0.519217543,14
5aeeb4903c80f200013af2ed,Now,0.187714924,16
5b0fa626bd9c310001568d6c,Now,0.437542985,8
5b15307351caaf0001228d9b,Now,0.000343879,16
5b15de5cbd9c310001570400,Now,0.343857462,16
5b16ceb0bdf4e10001630f58,Now,0.328243208,16
5b197b8088ee7400012ae154,Now,0.038778965,14
5b25c819a7cee100011d9091,Now,0.297014701,16
5b26ed8a8ecf3f0001619040,Now,0.156486417,16
5b32c0ff975e260001e97d0e,Now,0.250171939,8
5b3e3a299a6a140001222ea1,Now,0.531228508,16
5b457ba9eb64c200015bbab1,Now,0.428620554,8
5b4d31673d01bd0001ec447e,Now,0.599931224,11
5b4d39f2d4c93b00019c8217,Now,0.37508597,12
5b5a822e1ad8270001c4f28d,Now,0.194654593,9
5b5c8d4e10aec90001ed4bee,Now,0.100275103,6
5b619b6c5256470001bcf992,Now,0.125257909,8
5b707a406f0ed10001bfb973,Now,0.115649138,14
5b76ce43bfc4cb0001f2c4c3,Now,0.294259244,17
5b76d0f5fca8d9000139404c,Now,0.000343879,2
5b7cbe9db630cf000125dffe,Now,0.071723325,15
5b954f10754b700001f06bf0,Now,0.275154746,10
5b97f70161c19e00018db4a8,Now,0.160947632,14
5b97f8988ae8150001c7a887,Now,0.522711642,11
5b9ec956c8a17f000171f7ad,Now,0.031572387,16
5b9efb73d1ff7a00013bfe84,Now,0.160947632,14
5bcb229aa8920a00013060fa,Now,0.250171939,16
5bcd295277740000016ab0a5,Now,0.250171939,10
5bd9f569eb22f2000183df4e,Now,0.421928731,16
5bd9fed6780d50000109c503,Now,0.281400447,9
5bdbf2d92562330001b8d056,Now,0.041981889,13
5bdc4d25a49c2800019e1c24,Now,0.321551385,9
5bddd64b48428800013061a6,Now,0.557652629,13
5bddf0f876219d00014b145e,Now,0.200206327,11
5be0a65507684000010cf0f9,Now,0.339396247,15
5be2e7e491deed00015adcb0,Now,0.250171939,15
5be781ca3b047e0001a39e47,Now,0.250171939,10
5beb8419aec9ef0001e9d5fb,Now,0.000343879,16
5bef87523d79ff0001275154,Now,0.000343879,13
5bf08e67d63d690001360a79,Now,0.125257909,11
5bf32090a155c300016f3c06,Now,0.04718664,16
5bf5ab78f35e0c000101b657,Now,0.5,8
5bf720e60b616400019c6c6c,Now,0.000343879,11
5bfd81fb2feab400014d9060,Now,0.250171939,17
5c0023fb2213be0001c2cdde,Now,0.431865074,14
5c003b5c2c8cc1000138e25f,Now,0.366758368,15
5c0150326a0c6e00013c6068,Now,0.281400447,16
5c03217b1a20110001e979f0,Now,0.187714924,4
5c05ff644c14cf00019db0a9,Now,0.720436524,17
5c0990b854deae0001ac693c,Now,0.437542985,16
5c0a696aa4e5fc0001759543,Now,0.477288358,13
5c0f1cf4f3027300014b606f,Now,0.321551385,15
5c101f812a1a620001f04007,Now,0.437542985,4
5c11f8202b16ba0001c8b764,Now,0.214482217,8
5c12521fbf739a0001cfeb03,Now,0.316792756,15
5c1bc0ab84ff14000184c2ce,Now,0.5,15
5c1c137b0739430001693cf5,Now,0.166895919,7
5c223d4a4a7e1f000137e5b9,Now,0.150240715,15
5c27f83289f035000174a168,Now,0.62491403,12
5c28113978fad50001932f58,Now,0.230954396,13
5c2cdb4e213a1a0001b9c475,Now,0.272883581,11
5c2d187569ceff00011417de,Now,0.250171939,5
5c2fcd716ea6880001dc8e3d,Now,0.269389483,14
5c3027ef69d7820001063974,Now,0.346259655,13
5c31847f10677f0001ddc781,Now,0.58327602,9
5c3282cd53d7b10001934577,Now,0.749828061,5
5c381b1ce4dbd30001fbc9c9,Now,0.388965306,10
5c39606586c1450001a9675d,Now,0.687371045,16
5c3a34eebe1ddc0001aa35d6,Now,0.325120358,11
5c3fb71b36052e00016bb1a6,Now,0.62491403,8
5c40e7d99d27f00001159a65,Now,0.272883581,11
5c43349027bb0d0001282427,Now,0.250171939,10
5c454961f5e3bc00014ed20b,Now,0.107413048,14
5c4684826a7dbc00017c0a87,Now,0.549965612,7
5c47d714a8703f0001b6e780,Now,0.576870172,13
5c4de8f726093e000134ee6e,Now,0.316792756,15
5c55fec09fcbc40001dc50b5,Now,0.015958133,16
5c5732a80a537a00019ea4eb,Now,0.088518489,17
5c57631a47a04100010da795,Now,0.472241327,9
5c57c06ed05b82000139682e,Now,0.172100671,16
5c586f5eee248f00016b7fe7,Now,0.386441791,11
5c58e01e6f4ec5000164c35a,Now,0.078415148,16
5c5aecc774a76f0001a25ced,Now,0.390700224,16
